Message Name,mToken,Field Number (fNum),Field Name (name),Field Type (fType),Enum Set (eSet),Field Description (desc),Data Products
AuctionPrintSN,SRATS,130,strikePv,Double,,strikePv = strike * (1.0 - moneyRate * iYears) [moneyRate supplied above],
AuctionPrintSN,SRATS,131,prtPrice,Double,,reported OPRA print price (pkgPrice if MLeg),
AuctionPrintSN,SRATS,132,prtPrice2,Double,,"if reported as 2 separate prints at different prices (ie, partial size improvement)",
AuctionPrintSN,SRATS,133,prtSize,Int,,reported OPRA print size (pgkSize if MLeg),
AuctionPrintSN,SRATS,134,prtSize2,Int,,reported OPRA print size (pgkSize if MLeg),
AuctionPrintSN,SRATS,135,prtTime,DateTime,,reported OPRA print time (1st print if MLeg) (high precision),
AuctionPrintSN,SRATS,136,prtType,Enum,"None,CANC,OSEQ,CNCL,LATE,CNCO,OPEN,CNOL,OPNL,AUTO,REOP,ISOI,SLAN,SLAI,SLCN,SCLI,SLFT,MLET,MLAT,MLCT,MLFT,MESL,TLAT,MASL,MFSL,TLET,TLCT,TLFT,TESL,TASL,TFSL,CBMO,MCTP,EXHT",reported OPRA print type,
AuctionPrintSN,SRATS,137,prtUBid,Double,,best estimate of uBid @ auction print time,
AuctionPrintSN,SRATS,138,prtUAsk,Double,,best estimate of uAsk @ auction print time,
AuctionPrintSN,SRATS,139,prtUPrc,Double,,best estimate of uPrc @ auction print time,
AuctionPrintSN,SRATS,140,prtSurfPrc,Float,,surface prc @ auction print time (@ uMid) (pkgSurfPrc if MLeg),
AuctionPrintSN,SRATS,141,uPrc1m,Float,,uPrc (mid market) @ auction print time + 1m,
AuctionPrintSN,SRATS,142,bidPrc1m,Float,,option nbbo bid @ auction print time + 1m,
AuctionPrintSN,SRATS,143,askPrc1m,Float,,option nbbo ask @ auction print time + 1m,
AuctionPrintSN,SRATS,144,surfPrc1m,Float,,surface prc @ auction print time + 1m (@ uMid),
AuctionPrintSN,SRATS,145,uPrc10m,Float,,uPrc (mid market) @ auction print time + 10m,
AuctionPrintSN,SRATS,146,bidPrc10m,Float,,option nbbo bid @ auction print time + 10m,
AuctionPrintSN,SRATS,147,askPrc10m,Float,,option nbbo ask @ auction print time + 10m,
AuctionPrintSN,SRATS,148,surfPrc10m,Float,,surface prc @ auction print time + 10m (@ uMid),
AuctionPrintSN,SRATS,149,timestamp,DateTime,,,
AuctionPrintBX,SRATS,10,noticeNumber,Long,,AuctionNotice.noticeNumber,
AuctionPrintBX,SRATS,100,ticker,TickerKey,,underlier ticker,
AuctionPrintBX,SRATS,101,tradeDate,DateKey,,,
AuctionPrintBX,SRATS,102,isTestAuction,Enum,"None,Yes,No","if yes, auction is a test auction (not a prod/live auction)",
AuctionPrintBX,SRATS,103,noticeTime,DateTime,,notice create timestamp (high precision),
AuctionPrintBX,SRATS,104,auctionType,Enum,"None,Exposure,Improvement,Facilitation,Solicitation,Opening,Closing,RFQ,Block,Flash","(eg. Block, Flash, Improvement, Facilitation, etc.)",
AuctionPrintBX,SRATS,105,auctionSource,Enum,"None,SRC,AMEX,BOX,CBOE,ISE,NYSE,PHLX,NSDQ,BATS,C2,NQBX,MIAX,GMNI,EDGO,MCRY,MPRL,EMLD,MEMX,CME,CBOT,NYMEX,COMEX,ICE,EUREX","source of the auction notice (eg. SRC, MIAX, etc.)",
AuctionPrintBX,SRATS,106,containsFlex,Enum,"None,Yes,No",Flex = European,
AuctionPrintBX,SRATS,107,root,TickerKey,,option root,
AuctionPrintBX,SRATS,108,expiry,DateKey,,,
AuctionPrintBX,SRATS,109,loStrike,Double,,lo strike,
AuctionPrintBX,SRATS,110,hiStrike,Double,,hi strike,
AuctionPrintBX,SRATS,111,industry,Text1,,industry string,
AuctionPrintBX,SRATS,112,symbolType,Enum,"None,Equity,ADR,ETF,CashIndex,MutualFund,ShortETF,Future,Bond,DepReceipts,PreferredSec,PreferenceShare,StructuredProd,StapledSec,TradeableRights,Unit,Warrant,WhenIssued,ForeignIssue",,
AuctionPrintBX,SRATS,113,uAvgDailyVlm,Float,,underlier average daily trading volume,
AuctionPrintBX,SRATS,114,custSide,Enum,"None,Buy,Sell",from AuctionNotice (if known),
AuctionPrintBX,SRATS,115,custQty,Int,,from AuctionNotice (if known),
AuctionPrintBX,SRATS,116,custPrc,Double,,from AuctionNotice (if known),
AuctionPrintBX,SRATS,117,hasCustPrc,Enum,"None,Yes,No",from AuctionNotice (if known),
AuctionPrintBX,SRATS,118,custFirmType,Enum,"None,Customer,Firm,MarketMaker,ProCustomer,BrokerDealer,AwayMM,FirmJBO,BrkrDlrCust",cust firm type (if disclosed),
AuctionPrintBX,SRATS,119,custAgentMPID,String,,cust agent exchange member initiating the auction (if disclosed),
AuctionPrintBX,SRATS,120,commEnhancement,Float,,additional commission (if any) paid by responder,
AuctionPrintBX,SRATS,121,noticeUBid,Double,,,
AuctionPrintBX,SRATS,122,noticeUAsk,Double,,,
AuctionPrintBX,SRATS,123,netSurfPrc,Float,,SR Surface Price (entire package),
AuctionPrintBX,SRATS,124,iDays,Double,,iDays = effective interest days [SR supplied],
AuctionPrintBX,SRATS,125,iYears,Double,,iYears = iDays / 360.0,
AuctionPrintBX,SRATS,126,moneyRate,Double,,effective rate to borrow/lend money to expiry (360 day convention) [compares to globalRate * 360 / 365] [SR Supplied Estimate],
AuctionPrintBX,SRATS,127,strikePv,Double,,strikePv = strike * (1.0 - moneyRate * iYears) [moneyRate supplied above],
AuctionPrintBX,SRATS,128,prtPrice,Double,,reported OPRA print price (pkgPrice if MLeg),
AuctionPrintBX,SRATS,129,prtPrice2,Double,,"if reported as 2 separate prints at different prices (ie, partial size improvement)",
AuctionPrintBX,SRATS,130,prtSize,Int,,reported OPRA print size (pgkSize if MLeg),
AuctionPrintBX,SRATS,131,prtSize2,Int,,reported OPRA print size (pgkSize if MLeg),
AuctionPrintBX,SRATS,132,prtTime,DateTime,,reported OPRA print time (1st print if MLeg) (high precision),
AuctionPrintBX,SRATS,133,prtType,Enum,"None,CANC,OSEQ,CNCL,LATE,CNCO,OPEN,CNOL,OPNL,AUTO,REOP,ISOI,SLAN,SLAI,SLCN,SCLI,SLFT,MLET,MLAT,MLCT,MLFT,MESL,TLAT,MASL,MFSL,TLET,TLCT,TLFT,TESL,TASL,TFSL,CBMO,MCTP,EXHT",reported OPRA print type,
AuctionPrintBX,SRATS,134,prtUPrc,Double,,best estimate of uPrc @ auction print time,
AuctionPrintBX,SRATS,135,prtSurfPrc,Float,,surface prc @ auction print time (@ uMid) (pkgSurfPrc if MLeg),
AuctionPrintBX,SRATS,136,prtMoneyRate,Double,,prtMoneyRate = (1.0 - (prtPrice / (hiStrike - loStrike)) / iYears,
AuctionPrintBX,SRATS,137,uPrc1m,Float,,uPrc (mid market) @ auction print time + 1m,
AuctionPrintBX,SRATS,138,bidPrc1m,Float,,option nbbo bid @ auction print time + 1m,
AuctionPrintBX,SRATS,139,askPrc1m,Float,,option nbbo ask @ auction print time + 1m,
AuctionPrintBX,SRATS,140,surfPrc1m,Float,,surface prc @ auction print time + 1m (@ uMid),
AuctionPrintBX,SRATS,141,surfRate1m,Double,,surfRate1m = (1.0 - (surfPrc1m / (hiStrike - loStrike)) / iYears,
AuctionPrintBX,SRATS,142,uPrc10m,Float,,uPrc (mid market) @ auction print time + 10m,
AuctionPrintBX,SRATS,143,bidPrc10m,Float,,option nbbo bid @ auction print time + 10m,
AuctionPrintBX,SRATS,144,askPrc10m,Float,,option nbbo ask @ auction print time + 10m,
AuctionPrintBX,SRATS,145,surfPrc10m,Float,,surface prc @ auction print time + 10m (@ uMid),
AuctionPrintBX,SRATS,146,surfRate10m,Double,,surfRate10m = (1.0 - (surfPrc10m / (hiStrike - loStrike)) / iYears,
AuctionPrintBX,SRATS,147,timestamp,DateTime,,,
AutoResponderVegaDir,SRATS,10,accnt,String,,,
AutoResponderVegaDir,SRATS,14,clientFirm,String,,,
AutoResponderVegaDir,SRATS,16,root,TickerKey,,,
AutoResponderVegaDir,SRATS,12,respSide,Enum,"None,Buy,Sell",auction responder side (your side),
AutoResponderVegaDir,SRATS,17,responderID,Int,,client supplied responder ID (can be any number including zero),
AutoResponderVegaDir,SRATS,100,userName,String,,username used for responding to auction notices,
AutoResponderVegaDir,SRATS,102,isDisabled,Enum,"None,Yes,No","if Yes, this auto-responder record is disabled",
AutoResponderVegaDir,SRATS,136,enabledUntil,DateTime,,will be enabled up until this time,
AutoResponderVegaDir,SRATS,103,canIncludeFlex,Enum,"None,Yes,No","if yes, can respond to auction notices that include flex option legs",
AutoResponderVegaDir,SRATS,104,canIncludeStock,Enum,"None,Yes,No","if yes, can respond to auction notices that include a stock leg",
AutoResponderVegaDir,SRATS,105,cpFlag,Enum,"Call,Put,Pair",if not Pair must match all option legs,
AutoResponderVegaDir,SRATS,137,minNetVegaRatio,Float,,minimum ratio of abs(netVega)/totalVega to enable a response (hard lower limit of 0.25),
AutoResponderVegaDir,SRATS,138,minYears,Float,,"all leg years must be between [minYears, maxYears]",
AutoResponderVegaDir,SRATS,139,maxYears,Float,,,
AutoResponderVegaDir,SRATS,140,minExpiry,DateTime,,"all leg expiries must be between [minExpiry, maxExpiry]",
AutoResponderVegaDir,SRATS,141,maxExpiry,DateTime,,,
AutoResponderVegaDir,SRATS,110,minXDelta,Float,,"all leg xDelta must be between [minXDelta, maxXDelta]",
AutoResponderVegaDir,SRATS,111,maxXDelta,Float,,,
AutoResponderVegaDir,SRATS,112,minStrike,Double,,"all leg strikes must be between [minStrike, maxStrike]",
AutoResponderVegaDir,SRATS,113,maxStrike,Double,,,
AutoResponderVegaDir,SRATS,114,minSurfEdgePrem,Float,,spread surface edge (in premium) (+ = through surface; - = behind surface),
AutoResponderVegaDir,SRATS,130,minSurfEdgeVol,Float,,spread surface edge (in vol) (0.01 = 1.0 vol pts) (+ = through surface; - = behind surface),
AutoResponderVegaDir,SRATS,131,incFeesInResp,Enum,"None,Yes,No",include all estimated responder fees in final response price,
AutoResponderVegaDir,SRATS,132,roundRule,Enum,"None,Exact,Fuzzy",,
AutoResponderVegaDir,SRATS,117,maxResponseSize,Int,,maximum number of contracts per response (will respond for 100% if auction size <= maxResponseSize),
AutoResponderVegaDir,SRATS,133,maxResponseVega,Float,,maximum total vega per response,
AutoResponderVegaDir,SRATS,134,totalResponseVega,Float,,maximum vega (filled) all day,
AutoResponderVegaDir,SRATS,135,totalResponseWtVega,Float,,maximum wtVega (filled) all day,
AutoResponderVegaDir,SRATS,119,autoHedge,Enum,"None,Static,AutoMid,AutoCrx,AutoTrn,SpdrAuto,Spdr10S,Spdr30S,Spdr90S,Spdr5M,Spdr30M,SpdrDay,SmartFast,SmartNorm,FastCrx,FastDark,SlowDark,AlphaVwap1pct,AlphaVwap2pct,AlphaVwap5pct,AlphaVwap25pct,Custom,AwayAlgo",,
AutoResponderVegaDir,SRATS,120,hedgeInstrument,Enum,"None,Default,FrontMonth,Stock,Future",Default=actual underlier (EQT or FUT) [IndexOptions use ETF]; FrontMonth=actual underlier (EQT) or front month (FUT) [IndexOptions use FM Fut]; Stock=hedgeSecKey.TickerKey; Future=hedgeSecKey.ExpiryKey,
AutoResponderVegaDir,SRATS,121,hedgeSecKey,ExpiryKey,,autohedge instrument (can be a TickerKey (stock) or ExpiryKey (future)) [required for Stock and Future],
AutoResponderVegaDir,SRATS,122,hedgeBetaRatio,Float,,portion of executed $money to auto-hedge (can be 1.0 / Beta for beta hedging) [-4.0 to +4.0],
AutoResponderVegaDir,SRATS,123,hedgeScope,Enum,"None,Accnt,RiskGroup",hedge group scope [RiskGroup or Accnt],
AutoResponderVegaDir,SRATS,124,hedgeSession,Enum,"None,PreMkt,RegMkt,PostMkt,PreRegMkt,RegPostMkt,AllDay",time in force for the autohedge order (can be Day or ExtDay) [None defaults to pOrder.timeInForce],
AutoResponderVegaDir,SRATS,125,riskGroupId,Long,,Default: 0 (none).  Required to be non-zero if `autoHedge` is something other than None.,
AutoResponderVegaDir,SRATS,127,modifiedBy,String,,user who last modified this record,
AutoResponderVegaDir,SRATS,128,modifiedIn,Enum,"None,Neptune,Pluto,V7_Stable,V7_Latest,Saturn,Venus,Mars,SysTest,V7_Current",,
AutoResponderVegaDir,SRATS,129,timestamp,DateTime,,timestamp of last modification,
AutoResponderRC,SRATS,10,accnt,String,,,
AutoResponderRC,SRATS,11,clientFirm,String,,,
AutoResponderRC,SRATS,15,ekey,ExpiryKey,,,
AutoResponderRC,SRATS,14,respSide,Enum,"None,Buy,Sell",auction responder side (your side); Buy = Buy Synthetic (Sell Shares),
AutoResponderRC,SRATS,100,userName,String,,username used for responding to auction notices,
AutoResponderRC,SRATS,101,ticker,TickerKey,,,
AutoResponderRC,SRATS,102,isDisabled,Enum,"None,Yes,No","if Yes, this auto-responder record is disabled",
AutoResponderRC,SRATS,117,enabledUntil,DateTime,,will be enabled up until this time,
AutoResponderRC,SRATS,103,expiryQtyAvail,Int,,revcons (contracts) available for responding (day total; this ticker/expiry; all strikes) [note: 1 contract = undPerCn underlier units],
AutoResponderRC,SRATS,104,tickerQtyAvail,Int,,revcons (contracts) available for responding (day total; this ticker; all strikes) [note: 1 contract = undPerCn underlier units],
AutoResponderRC,SRATS,105,transactFee,Double,,(+ = you pay) / (- = you receive),
AutoResponderRC,SRATS,106,stockRate,Double,,0.00 = no effective lend/borrow value  (360 day convention),
AutoResponderRC,SRATS,107,moneyRate,Double,,effective rate to borrow/lend money to expiry (360 day convention) [compares to globalRate * 360 / 365],
AutoResponderRC,SRATS,108,ddivPv,Double,,present value of any expected dividends to expiry,
AutoResponderRC,SRATS,109,divControl,Enum,"None,DisableAny,DisableEstimates",disable this auto-responder record if SR Dividends exist or are estimates,
AutoResponderRC,SRATS,110,respondFlex,Enum,"None,Yes,No","if not None, much match auction notice containsFlex field",
AutoResponderRC,SRATS,111,incFeesInResp,Enum,"None,Yes,No",include all estimated responder fees in final response price,
AutoResponderRC,SRATS,112,roundRule,Enum,"None,Exact,Fuzzy",,
AutoResponderRC,SRATS,113,riskGroupId,Long,,,
AutoResponderRC,SRATS,114,modifiedBy,String,,user who last modified this record,
AutoResponderRC,SRATS,115,modifiedIn,Enum,"None,Neptune,Pluto,V7_Stable,V7_Latest,Saturn,Venus,Mars,SysTest,V7_Current",,
AutoResponderRC,SRATS,116,timestamp,DateTime,,timestamp of last modification,
AutoResponderSN,SRATS,10,accnt,String,,,
AutoResponderSN,SRATS,11,clientFirm,String,,,
AutoResponderSN,SRATS,15,ekey,ExpiryKey,,,
AutoResponderSN,SRATS,14,respSide,Enum,"None,Buy,Sell",auction responder side (your side); Buy = Buy Synthetic (European/Flex),
AutoResponderSN,SRATS,100,userName,String,,username used for responding to auction notices,
AutoResponderSN,SRATS,101,ticker,TickerKey,,,
AutoResponderSN,SRATS,102,isDisabled,Enum,"None,Yes,No","if Yes, this auto-responder record is disabled",
AutoResponderSN,SRATS,103,expiryQtyAvail,Int,,synthetics (contracts) available for responding (day total; this ticker/expiry; all strikes) [note: 1 contract = undPerCn underlier units],
AutoResponderSN,SRATS,104,tickerQtyAvail,Int,,synthetics (contracts) available for responding (day total; this ticker; all strikes) [note: 1 contract = undPerCn underlier units],
AutoResponderSN,SRATS,105,refUPrcType,Enum,"None,Mid,Cross,Join","mid or cross (bid/ask); mid = 0.5 * (uBid + uAsk), cross = stk best bid (if you are buying the synthetic) | stk best ask (if you are selling the synthetic)",
AutoResponderSN,SRATS,106,transactFee,Double,,(+ = you pay) / (- = you receive),
AutoResponderSN,SRATS,107,stockRate,Double,,0.00 = no effective lend/borrow value  (360 day convention),
AutoResponderSN,SRATS,108,moneyRate,Double,,effective rate to borrow/lend money to expiry (360 day convention) [compares to globalRate * 360 / 365],
AutoResponderSN,SRATS,109,ddivPv,Double,,present value of any expected dividends to expiry,
AutoResponderSN,SRATS,110,divControl,Enum,"None,DisableAny,DisableEstimates",disable this auto-responder record if SR Dividends exist or are estimates,
AutoResponderSN,SRATS,111,incFeesInResp,Enum,"None,Yes,No",include all estimated responder fees in final response price,
AutoResponderSN,SRATS,112,roundRule,Enum,"None,Exact,Fuzzy",,
AutoResponderSN,SRATS,113,riskGroupId,Long,,,
AutoResponderSN,SRATS,114,modifiedBy,String,,user who last modified this record,
AutoResponderSN,SRATS,115,modifiedIn,Enum,"None,Neptune,Pluto,V7_Stable,V7_Latest,Saturn,Venus,Mars,SysTest,V7_Current",,
AutoResponderSN,SRATS,116,timestamp,DateTime,,timestamp of last modification,
AutoResponderBX,SRATS,10,accnt,String,,,
AutoResponderBX,SRATS,11,clientFirm,String,,,
AutoResponderBX,SRATS,15,ekey,ExpiryKey,,,
AutoResponderBX,SRATS,14,respSide,Enum,"None,Buy,Sell",auction responder side (your side) (Buy = Buy/Borrow Cash),
AutoResponderBX,SRATS,100,userName,String,,username used for responding to auction notices,
AutoResponderBX,SRATS,101,ticker,TickerKey,,,
AutoResponderBX,SRATS,102,isDisabled,Enum,"None,Yes,No","if Yes, this auto-responder record is disabled",
AutoResponderBX,SRATS,103,expiryMoneyAvail,Long,,money available for responding (day total; this ticker/expiry; all strikes) [note: money = (hiStrike - loStrike) * pointValue per BX spread],
AutoResponderBX,SRATS,104,tickerMoneyAvail,Long,,money available for responding (day total; this ticker; all strikes),
AutoResponderBX,SRATS,105,transactFee,Double,,,
AutoResponderBX,SRATS,106,moneyRate,Double,,0.00 = no effective lend/borrow value (360 day convention),
AutoResponderBX,SRATS,107,incFeesInResp,Enum,"None,Yes,No",include all estimated responder fees in final response price,
AutoResponderBX,SRATS,108,roundRule,Enum,"None,Exact,Fuzzy",,
AutoResponderBX,SRATS,109,riskGroupId,Long,,,
AutoResponderBX,SRATS,110,modifiedBy,String,,user who last modified this record,
AutoResponderBX,SRATS,111,modifiedIn,Enum,"None,Neptune,Pluto,V7_Stable,V7_Latest,Saturn,Venus,Mars,SysTest,V7_Current",,
AutoResponderBX,SRATS,112,timestamp,DateTime,,timestamp of last modification,
ResponderMarkupVegaDir,SRATS,10,accnt,String,,,
ResponderMarkupVegaDir,SRATS,11,clientFirm,String,,,
ResponderMarkupVegaDir,SRATS,15,root,TickerKey,,,
ResponderMarkupVegaDir,SRATS,13,respSide,Enum,"None,Buy,Sell",auction responder side (your side),
ResponderMarkupVegaDir,SRATS,16,responderID,Int,,client supplied responder ID (can be any number including zero),
ResponderMarkupVegaDir,SRATS,100,userName,String,,username used for responding to auction notices,
ResponderMarkupVegaDir,SRATS,101,isDisabled,Enum,"None,Yes,No","if Yes, this auto-responder record is disabled",
ResponderMarkupVegaDir,SRATS,137,enabledUntil,DateTime,,will be enabled up until this time,
ResponderMarkupVegaDir,SRATS,102,canIncludeFlex,Enum,"None,Yes,No","if yes, can respond to auction notices that include flex option legs",
ResponderMarkupVegaDir,SRATS,103,canIncludeStock,Enum,"None,Yes,No","if yes, can respond to auction notices that include a stock leg",
ResponderMarkupVegaDir,SRATS,104,cpFlag,Enum,"Call,Put,Pair",if not Pair must match all option legs,
ResponderMarkupVegaDir,SRATS,138,minNetVegaRatio,Float,,minimum ratio of abs(netVega)/totalVega to enable a response (hard lower limit of 0.25),
ResponderMarkupVegaDir,SRATS,105,minYears,Float,,"both markup.minYears and markup.maxYears must be between [minYears, maxYears]",
ResponderMarkupVegaDir,SRATS,106,maxYears,Float,,,
ResponderMarkupVegaDir,SRATS,107,minExpiry,DateTime,,"both markup.minExpiry and markup.maxExpiry must be between [minExpiry, maxExpiry]",
ResponderMarkupVegaDir,SRATS,108,maxExpiry,DateTime,,,
ResponderMarkupVegaDir,SRATS,109,minXDelta,Float,,"all leg xDelta must be between [minXDelta, maxXDelta]",
ResponderMarkupVegaDir,SRATS,110,maxXDelta,Float,,,
ResponderMarkupVegaDir,SRATS,111,minStrike,Double,,"all leg strikes must be between [minStrike, maxStrike]",
ResponderMarkupVegaDir,SRATS,112,maxStrike,Double,,,
ResponderMarkupVegaDir,SRATS,113,minSurfEdgePrem,Float,,spread surface edge (in premium) (+ = through surface; - = behind surface),
ResponderMarkupVegaDir,SRATS,114,minSurfEdgeVol,Float,,spread surface edge (in vol) (0.01 = 1.0 vol pts) (+ = through surface; - = behind surface),
ResponderMarkupVegaDir,SRATS,115,incFeesInResp,Enum,"None,Yes,No",include all estimated responder fees in final response price,
ResponderMarkupVegaDir,SRATS,116,roundRule,Enum,"None,Exact,Fuzzy",,
ResponderMarkupVegaDir,SRATS,117,maxResponseSize,Int,,maximum number of contracts per response (will respond for 100% if auction size <= maxResponseSize),
ResponderMarkupVegaDir,SRATS,118,maxResponseVega,Float,,maximum total vega per response,
ResponderMarkupVegaDir,SRATS,119,totalResponseVega,Float,,maximum vega (filled) all day,
ResponderMarkupVegaDir,SRATS,120,totalResponseWtVega,Float,,maximum wtVega (filled) all day,
ResponderMarkupVegaDir,SRATS,121,autoHedge,Enum,"None,Static,AutoMid,AutoCrx,AutoTrn,SpdrAuto,Spdr10S,Spdr30S,Spdr90S,Spdr5M,Spdr30M,SpdrDay,SmartFast,SmartNorm,FastCrx,FastDark,SlowDark,AlphaVwap1pct,AlphaVwap2pct,AlphaVwap5pct,AlphaVwap25pct,Custom,AwayAlgo",,
ResponderMarkupVegaDir,SRATS,122,hedgeInstrument,Enum,"None,Default,FrontMonth,Stock,Future",Default=actual underlier (EQT or FUT) [IndexOptions use ETF]; FrontMonth=actual underlier (EQT) or front month (FUT) [IndexOptions use FM Fut]; Stock=hedgeSecKey.TickerKey; Future=hedgeSecKey.ExpiryKey,
ResponderMarkupVegaDir,SRATS,123,hedgeSecKey,ExpiryKey,,autohedge instrument (can be a TickerKey (stock) or ExpiryKey (future)) [required for Stock and Future],
ResponderMarkupVegaDir,SRATS,124,hedgeBetaRatio,Float,,portion of executed $money to auto-hedge (can be 1.0 / Beta for beta hedging) [-4.0 to +4.0],
ResponderMarkupVegaDir,SRATS,125,hedgeScope,Enum,"None,Accnt,RiskGroup",hedge group scope [RiskGroup or Accnt],
ResponderMarkupVegaDir,SRATS,126,hedgeSession,Enum,"None,PreMkt,RegMkt,PostMkt,PreRegMkt,RegPostMkt,AllDay",time in force for the autohedge order (can be Day or ExtDay) [None defaults to pOrder.timeInForce],
ResponderMarkupVegaDir,SRATS,127,riskGroupId,Long,,Default: 0 (none).  Required to be non-zero if `autoHedge` is something other than None.,
ResponderMarkupVegaDir,SRATS,132,qtyTraded,Int,,,
ResponderMarkupVegaDir,SRATS,133,vegaTraded,Double,,,
ResponderMarkupVegaDir,SRATS,177,wtVegaTraded,Double,,,
ResponderMarkupVegaDir,SRATS,129,numNotices,Long,,number of notices that match response bucket,
ResponderMarkupVegaDir,SRATS,139,numNoticeSR,Long,,number of SR auction numNotices,
ResponderMarkupVegaDir,SRATS,140,numNoticeAMEX,Long,,,
ResponderMarkupVegaDir,SRATS,141,numNoticeBATS,Long,,,
ResponderMarkupVegaDir,SRATS,142,numNoticeBOX,Long,,,
ResponderMarkupVegaDir,SRATS,143,numNoticeCBOE,Long,,,
ResponderMarkupVegaDir,SRATS,144,numNoticeC2,Long,,,
ResponderMarkupVegaDir,SRATS,145,numNoticeEDGO,Long,,,
ResponderMarkupVegaDir,SRATS,146,numNoticeEMLD,Long,,,
ResponderMarkupVegaDir,SRATS,147,numNoticeGMNI,Long,,,
ResponderMarkupVegaDir,SRATS,148,numNoticeISE,Long,,,
ResponderMarkupVegaDir,SRATS,149,numNoticeMCRY,Long,,,
ResponderMarkupVegaDir,SRATS,150,numNoticeMEMX,Long,,,
ResponderMarkupVegaDir,SRATS,151,numNoticeMIAX,Long,,,
ResponderMarkupVegaDir,SRATS,152,numNoticeMPRL,Long,,,
ResponderMarkupVegaDir,SRATS,153,numNoticeNYSE,Long,,,
ResponderMarkupVegaDir,SRATS,154,numNoticeNQBX,Long,,,
ResponderMarkupVegaDir,SRATS,155,numNoticeNSDQ,Long,,,
ResponderMarkupVegaDir,SRATS,156,numNoticePHLX,Long,,,
ResponderMarkupVegaDir,SRATS,157,numNoticeSPHR,Long,,,
ResponderMarkupVegaDir,SRATS,158,respDisabledSkips,Long,,number skipped from isDisabled,
ResponderMarkupVegaDir,SRATS,159,stockDisabledSkips,Long,,number skipped from canIncludeStock != Yes,
ResponderMarkupVegaDir,SRATS,160,cpFlagSkips,Long,,number skipped from cpFlag not matching notice legs CallPut,
ResponderMarkupVegaDir,SRATS,161,expiryRangeSkips,Long,,number skipped from out of range expiry value,
ResponderMarkupVegaDir,SRATS,162,yearsRangeSkips,Long,,number skipped from out of range years value,
ResponderMarkupVegaDir,SRATS,163,listedFlexSkips,Long,,number skipped from flex/listed filter,
ResponderMarkupVegaDir,SRATS,164,noticePriceSkips,Long,,number skipped from limit price filter (exchange only),
ResponderMarkupVegaDir,SRATS,165,aggSizeLimitSkips,Long,,number skipped from aggregate contract/vega size limit,
ResponderMarkupVegaDir,SRATS,166,riskGroupLimitSkips,Long,,number skipped from riskGroup limits,
ResponderMarkupVegaDir,SRATS,167,rootSkips,Long,,number skipped from leg root mismatch,
ResponderMarkupVegaDir,SRATS,168,xDeltaRangeSkips,Long,,number skipped from out of range XDelta value,
ResponderMarkupVegaDir,SRATS,169,strikeRangeSkips,Long,,number skipped from out of range strike,
ResponderMarkupVegaDir,SRATS,170,minVegaRatioSkips,Long,,number skipped from not qualifying ratio netVega/sum(abs(vega)),
ResponderMarkupVegaDir,SRATS,131,numResponses,Long,,number of response attempts (number of parentOrders/NoticeExecReports),
ResponderMarkupVegaDir,SRATS,171,numFullSize,Long,,,
ResponderMarkupVegaDir,SRATS,172,numAllocSize,Long,,,
ResponderMarkupVegaDir,SRATS,173,numPriceMiss,Long,,,
ResponderMarkupVegaDir,SRATS,174,numTooLate,Long,,,
ResponderMarkupVegaDir,SRATS,175,numOtherMiss,Long,,,
ResponderMarkupVegaDir,SRATS,176,numDidNotTrade,Long,,,
ResponderMarkupVegaDir,SRATS,134,modifiedBy,String,,user who last modified this record,
ResponderMarkupVegaDir,SRATS,135,modifiedIn,Enum,"None,Neptune,Pluto,V7_Stable,V7_Latest,Saturn,Venus,Mars,SysTest,V7_Current",,
ResponderMarkupVegaDir,SRATS,136,timestamp,DateTime,,timestamp of last modification,
ResponderMarkupRC,SRATS,10,accnt,String,,,
ResponderMarkupRC,SRATS,11,clientFirm,String,,,
ResponderMarkupRC,SRATS,15,ekey,ExpiryKey,,,
ResponderMarkupRC,SRATS,14,respSide,Enum,"None,Buy,Sell",auction responder side (your side); Buy = Buy Synthetic (Sell Shares),
ResponderMarkupRC,SRATS,100,ticker,TickerKey,,,
ResponderMarkupRC,SRATS,101,isDisabled,Enum,"None,Yes,No","if Yes, this auto-responder record is disabled",
ResponderMarkupRC,SRATS,134,enabledUntil,DateTime,,will be enabled up until this time,
ResponderMarkupRC,SRATS,102,expiryQtyAvail,Int,,revcons (contracts) available for responding (day total; this ticker/expiry; all strikes) [note: 1 contract = undPerCn underlier units],
ResponderMarkupRC,SRATS,103,tickerQtyAvail,Int,,revcons (contracts) available for responding (day total; this ticker; all strikes) [note: 1 contract = undPerCn underlier units],
ResponderMarkupRC,SRATS,104,transactFee,Double,,(+ = you pay) / (- = you receive),
ResponderMarkupRC,SRATS,105,stockRate,Double,,0.00 = no effective lend/borrow value  (360 day convention),
ResponderMarkupRC,SRATS,106,moneyRate,Double,,effective rate to borrow/lend money to expiry (360 day convention) [compares to globalRate * 360 / 365],
ResponderMarkupRC,SRATS,107,ddivPv,Double,,present value of any expected dividends to expiry,
ResponderMarkupRC,SRATS,108,divControl,Enum,"None,DisableAny,DisableEstimates",disable this auto-responder record if SR Dividends exist or are estimates,
ResponderMarkupRC,SRATS,109,respondFlex,Enum,"None,Yes,No","if not None, much match auction notice containsFlex field",
ResponderMarkupRC,SRATS,110,incFeesInResp,Enum,"None,Yes,No",include all estimated responder fees in final response price,
